Id,name,gender
1,Ben Hindson,Male
1,Serge Saxonov,Male
2,Dun Xiao,Male
2,Liu Chang,Male
3,Anne Wojcicki,Female
3,Linda Avey,Female
3,Paul Cusenza,Male
4,Wenyuan Dai,Male
4,Yang Qiang,Male
6,Lei Liu,Male
6,Lei Sun,Male
6,Lixing Chen,Male
7,Sebastian Betz,Male
7,Tarek Müller,Male
8,Joel Perlman,Male
8,Rishi Khosla,Male
9,Ash Ashutosh,Male
9,David Chang,Male
10,Chad Robins,Male
10,Christopher Carlson,Male
10,Harlan Robins,Male
11,Jeffrey Kaditz,Male
11,Max Levchin,Male
11,Nathan Gettings,Male
12,Zia Chishti,Male
13,Doug Dohring,Male
14,Wenjun Sun,Male
16,Brian Chesky,Male
16,Joe Gebbia,Male
16,Nathan Blecharczyk,Male
17,Andrew Ofstad,Male
17,Emmett Nicholas,Male
17,Howie Liu,Male
18,Jack Zhang,Male
18,Jacob Dai,Male
18,Ki-Lok Wong,Male
18,Lucy Yueting Liu,Female
18,Max Li,Male
19,Fu Qiang,Male
19,Gu Feng,Male
20,Joseph Zwillinger,Male
20,Tim Brown,Male
21,Daniel Saks,Male
21,Nicolas Desmarais,Male
22,Adam Foroughi,Male
22,Andrew Karam,Male
22,John Krystynak,Male
23,Li Tao,Male
24,Dustin Moskovitz,Male
24,Justin Rosenstein,Male
25,Anthony Thomson,Male
25,David McCarthy,Male
25,Mark Mullen,Male
26,Chris Urmson,Male
26,J. Andrew Bagnell,Male
26,Sterling Anderson,Male
27,Christian Bertermann,Male
27,Hakan Koç,Male
28,Ankur Kothari,Male
28,Mihir Shukla,Male
28,Neeti Mehta,Female
29,Matt Mullenweg,Male
30,Francisco Fernandes,Male
30,Francisco Fernandez,Male
31,Al Goldstein,Male
31,John Sun,Male
31,Paul Zhang,Male
32,Michael Praeger,Male
33,Lianglun Zhang,Male
34,Taoran Sun,Male
35,Brent Gutekunst,Male
35,Ivan Griffin,Male
35,Ken Mulvany,Male
35,Michael Brennan,Male
36,Douw Gerbrand Steyn,Male
37,René Lacerte,Male
38,Travis VanderZanden,Male
39,Jihan Wu,Male
39,Micree Zhan,Male
40,Francis Nappez,Male
40,Frédéric Mazzella,Male
40,Nicolas Brusson,Male
42,Markus Villig,Male
42,Martin Villig,Male
42,Oliver Leisalu,Male
43,James Watt,Male
43,Martin Dickie,Male
44,Henrique Dubugras,Male
44,Pedro Franceschi,Male
45,Achmad Zaky,Male
45,Nugroho Herucahyono,Male
46,Jonathan M. Rothberg,Male
46,Nevada Sanchez,Male
46,Tyler S. Ralston,Male
47,John Johnson,Male
47,Jonah Peretti,Male
48,Byju Raveendran,Male
48,Divya Gokulnath,Female
49,Patricia House,Female
49,Thomas Siebel,Male
50,Adrian Merino,Male
50,Francisco Montero,Male
50,Juan De Antonio,Male
50,Sam Lown,Male
50,Vicente Pascual,Male
51,Alex Tew,Male
51,Michael Acton Smith,Male
52,Tianshi Chen,Male
53,Cameron Adams,Male
53,Cliff Obrecht,Male
53,Melanie Perkins,Female
55,Dr. Joseph M. DeSimone,Male
55,Philip DeSimone,Male
56,Constantin Eis,Male
56,Gabriel Flateman,Male
56,Jeff Chapin,Male
56,Neil Parikh,Male
56,Philip Krim,Male
56,T. Luke Sherwin,Male
57,Lehlohonolo Moloi,Male
58,Alexander Rinke,Male
58,Bastian Nominacher,Male
58,Martin Klenk,Male
60,Chris Britt,Male
60,Ryan King,Male
61,Jeremy Allaire,Male
61,Sean Neville,Male
62,Lee Holloway,Male
62,Matthew Prince,Male
62,Michelle Zatlyn,Female
63,Zhou Xi,Male
64,Kris Gale,Male
64,Vivek Garipalli,Male
65,Mohit Aron,Male
66,Brian Armstrong,Male
66,Fred Ehrsam,Male
67,Felix Van De Maele,Male
67,Pieter De Leenheer,Male
67,Stijn Christiaens,Male
68,Ori Allon,Male
68,Robert Reffkin,Male
68,Ugo Di Girolamo,Male
69,Jay Kreps,Male
69,Jun Rao,Male
69,Neha Narkhede,Female
70,Danny Zhang,Male
70,Peter Szulczewski,Male
71,Dan Lewis,Male
71,Grant Goodale,Male
73,Bom Kim,Male
74,Kenneth Lin,Male
74,Nichole Mustard,Female
74,Ryan Graciano,Male
75,Dmitri Alperovitch,Male
75,George Kurtz,Male
75,Gregg Marston,Male
76,Ingmar Hoerr,Male
77,Dave Palmer,Male
77,Emily Orton,Female
77,Jack Stockdale,Male
77,Nicole Eagan,Female
77,Poppy Gustafsson,Female
78,Ali Ghodsi,Male
78,Andy Konwinski,Male
78,Ion Stoica,Male
78,Matei Zaharia,Male
78,Patrick Wendell,Male
78,Reynold Xin,Male
78,Scott Shenker,Male
79,Jeff Kinsey,Male
79,Ted Bailey,Male
80,Daniel Marhely,Male
80,Jonathan Benassaya,Male
81,Bhavesh Manglani,Male
81,Kapil Bharati,Male
81,Mohit Tandon,Male
81,Sahil Barua,Male
81,Suraj Saharan,Male
82,Greg Orlowski,Male
82,William Shu,Male
83,Chris Schuh,Male
83,Ely Sachs,Male
83,Emanuel M. Sachs,Male
83,John Hart,Male
83,Jonah Myerberg,Male
83,Ric Fulop,Male
83,Rick Chin,Male
83,Yet-Ming Chiang,Male
84,Ed Park,Male
84,Jeremy Delinsky,Male
84,Todd Park,Male
85,Bo Zhang,Male
85,Cheng Wei,Male
86,Shuling Ying,Male
87,Jason Citron,Male
88,Frank Wang,Male
89,Solomon Hykes,Male
90,Franck Tetzlaff,Male
90,Ivan Schneider,Male
90,Jessy Bernal,Male
90,Stanislas Niox-Chateau,Male
90,Steve Abou Rjeily,Male
90,Thomas Landais,Male
91,Andy Fang,Male
91,Evan Moore,Male
91,Stanley Tang,Male
91,Tony Xu,Male
92,Zhang Wenming,Male
93,Harsh Jain,Male
94,Wu Jingchuan,Male
96,Jing Gao,Male
97,Mark Rein,Male
97,Tim Sweeney,Male
98,Charles de Portes,Male
98,Jeffrey Shen,Male
98,Stuart Gibson,Male
99,Briscoe Rodgers,Male
99,Stefania Mallett,Female
100,Qi Yin,Male
100,Wenbin Tang,Male
100,Yang Mu,Male
101,Alan Trager,Male
101,Michael Rubin,Male
101,Mitch Trager,Male
102,Gary Ge,Male
102,Yongchang Geng,Male
103,Ryan Petersen,Male
104,David Cranor,Male
104,Maxim Lobovsky,Male
104,Natan Linder,Male
105,Girish Mathrubootham,Male
105,Shan Krishnasamy,Male
106,Zhongru Gan,Male
107,Yong Zheng,Male
108,Dave Waiser,Male
108,Roi More,Male
109,Austin Che,Male
109,Barry Canton,Male
109,Jason Kelly,Male
109,Reshma Shetty,Female
109,Tom Knight,Male
110,Dmitriy Zaporozhets,Male
110,Sytse Sijbrandij,Male
112,Andy Ruhan,Male
113,Emily Weiss,Female
114,Kevin Aluwi,Male
114,Michaelangelo Moran,Male
114,Nadiem Makarim,Male
115,Doug Hirsch,Male
115,Scott Marlette,Male
115,Trevor Bezdek,Male
116,Anthony Tan,Male
116,Tan Hooi Ling,Female
117,Jeffrey Huber,Male
118,Nigel Toon,Male
118,Simon Knowles,Male
119,Liao Jieyuan,Male
120,Mark Yang,Male
121,Edward Kim,Male
121,Joshua Reeves,Male
121,Tomer London,Male
122,Armon Dadgar,Male
122,Mitchell Hashimoto,Male
123,Steven Barlow,Male
123,Thomas Burton,Male
124,Charles A. Taylor,Male
124,Christopher K. Zarins,Male
125,Zackery Ngai,Male
126,Kavin Bharti Mittal,Male
127,Andrew Dudum,Male
127,Jack Abraham,Male
128,Annie Tao,Female
128,Chang Huang,Male
128,Fang Yi,Female
128,Kai Yu,Male
128,Ming Yang,Male
129,Adi Tatarko,Female
129,Alon Cohen,Male
131,Zhang Yichun,Male
132,J. Venter,Male
132,Peter Diamandis,Male
132,Robert Hariri,Male
133,Hao Li,Male
133,Jun Wang,Male
133,Yingrui Li,Male
134,Eduardo Baer,Male
134,Felipe Ramos Fioravante,Male
134,Gabriel Pinto,Male
134,Guilherme Bonifacio,Male
134,Patrick Sigrist,Male
135,Andrew Rubin,Male
135,PJ Kirner,Male
136,Herman Narula,Male
136,Peter Lipka,Male
136,Rob Whitehead,Male
138,Moshe Yanai,Male
139,Jim Schaper,Male
140,Abhay Singhal,Male
140,Amit Gupta,Male
140,Mohit Saxena,Male
140,Naveen Tewari,Male
140,Piyush Shah,Male
141,David Elkington,Male
141,Ken Krogue,Male
141,Rob Christensen,Male
142,Apoorva Mehta,Male
142,Brandon Leonardo,Male
142,Max Mullen,Male
143,David Franklin,Male
143,James M. Ahlers,Male
143,Thomas Alessi,Male
144,Ciaran Lee,Male
144,David Barrett,Male
144,Des Traynor,Male
144,Eoghan McCabe,Male
146,Arnon Harish,Male
146,Eyal Milrad,Male
146,Gil Shoham,Male
146,Itay Milrad,Male
146,Nethanel Shadmi,Male
146,Omer Kaplan,Male
146,Roi Milrad,Male
146,Tamir Carmi,Male
146,Tomer Bar Zeev,Male
146,Tomer Bar Zeev,Male
147,Eric Yang,Male
147,Jerry Huang,Male
147,Ming Yang,Male
148,Frederic Simon,Male
148,Shlomi Ben Haim,Male
148,Yoav Landman,Male
149,Haofeng He,Male
150,Sandeep Jolly,Male
151,Joe Falter,Male
153,Adam Bowen,Male
153,James Monsees,Male
153,Kevin Burns,Male
153,Tim Danaher,Male
154,Kathryn Petralia,Female
154,Marc Gorlin,Male
154,Rob Frohwein,Male
155,Fritz H. Wolff,Male
155,Jim Davidson,Male
155,Michael Marks,Male
156,Kendra Scott,Female
157,Christopher Best,Male
157,Ted Livingston,Male
158,Niklas Adalberth,Male
158,Sebastian Siemiatkowski,Male
158,Victor Jacobsson,Male
159,Eric Gnock Fah,Male
159,Ethan Lin,Male
160,Ke Wang,Male
161,Hua Su,Male
162,Han Hyun Oak,Male
163,Chow Shing Yuk,Male
163,Gary Hui,Male
163,Santit Jirawongkraisorn,Male
164,Brian Lee,Male
164,Brian Liu,Male
164,Eddie Hartman,Male
165,Daniel Schreiber,Male
